pais,,,conteo,Participación,,,,
Símbolos de poder,Descriptor,Obras,15,0.08%,,,,
Alfombra,Descriptor,Obras,14,0.07%,,,,
Compañía,Descriptor,Obras,14,0.07%,,,,
Decapitación,Descriptor,Obras,14,0.07%,,,,
Descanso,Descriptor,Obras,14,0.07%,,,,
Hoguera,Descriptor,Obras,14,0.07%,,,,
Militar,Descriptor,Obras,14,0.07%,,,,
"Mística
",Descriptor,Obras,14,0.07%,,,,
Muelle,Descriptor,Obras,14,0.07%,,,,
Rendición,Descriptor,Obras,14,0.07%,,,,
Bandeja,Descriptor,Obras,13,0.07%,,,,
Bodegón,Descriptor,Obras,13,0.07%,,,,
Botella,Descriptor,Obras,13,0.07%,,,,
Caballero,Descriptor,Obras,13,0.07%,,,,
Colina,Descriptor,Obras,13,0.07%,,,,
Dibujo,Descriptor,Obras,13,0.07%,,,,
Disciplina,Descriptor,Obras,13,0.07%,,,,
Ganado,Descriptor,Obras,13,0.07%,,,,
Guitarra,Descriptor,Obras,13,0.07%,,,,
Oscuridad,Descriptor,Obras,13,0.07%,,,,
Palma con tres coronas,Descriptor,Obras,13,0.07%,,,,
Pescador,Descriptor,Obras,13,0.07%,,,,
Primavera,Descriptor,Obras,13,0.07%,,,,
Reloj de arena,Descriptor,Obras,13,0.07%,,,,
Tinta,Descriptor,Obras,13,0.07%,,,,
Alacena,Descriptor,Obras,12,0.06%,,,,
Amamantar,Descriptor,Obras,12,0.06%,,,,
Árbol de Jesé,Descriptor,Obras,12,0.06%,,,,
Atardecer,Descriptor,Obras,12,0.06%,,,,
Baño,Descriptor,Obras,12,0.06%,,,,
Chimenea,Descriptor,Obras,12,0.06%,,,,
Degollación,Descriptor,Obras,12,0.06%,,,,
Escalera,Descriptor,Obras,12,0.06%,,,,
Funeral,Descriptor,Obras,12,0.06%,,,,
Muro,Descriptor,Obras,12,0.06%,,,,
Postrimerías,Descriptor,Obras,12,0.06%,,,,
Cigarrillo,Descriptor,Obras,11,0.06%,,,,
Cubiertos,Descriptor,Obras,11,0.06%,,,,
Danza,Descriptor,Obras,11,0.06%,,,,
Documento,Descriptor,Obras,11,0.06%,,,,
Encadenada,Descriptor,Obras,11,0.06%,,,,
Estera,Descriptor,Obras,11,0.06%,,,,
Imposición del Hábito,Descriptor,Obras,11,0.06%,,,,
Instrumentos médicos,Descriptor,Obras,11,0.06%,,,,
Jaula,Descriptor,Obras,11,0.06%,,,,
Leña,Descriptor,Obras,11,0.06%,,,,
Llave,Descriptor,Obras,11,0.06%,,,,
Lunar,Descriptor,Obras,11,0.06%,,,,
Manzana,Descriptor,Obras,11,0.06%,,,,
Pescado,Descriptor,Obras,11,0.06%,,,,
Playa,Descriptor,Obras,11,0.06%,,,,
Violín,Descriptor,Obras,11,0.06%,,,,
Carreta,Descriptor,Obras,10,0.05%,,,,
Conversación,Descriptor,Obras,10,0.05%,,,,
Desconcierto,Descriptor,Obras,10,0.05%,,,,
Dormido,Descriptor,Obras,10,0.05%,,,,
Iluminación,Descriptor,Obras,10,0.05%,,,,
Justicia,Descriptor,Obras,10,0.05%,,,,
Muñeco,Descriptor,Obras,10,0.05%,,,,
Pera,Descriptor,Obras,10,0.05%,,,,
Rebaño,Descriptor,Obras,10,0.05%,,,,
Traslado,Descriptor,Obras,10,0.05%,,,,
Arzobispo,Descriptor,Obras,9,0.05%,,,,
Campana,Descriptor,Obras,9,0.05%,,,,
Capilla,Descriptor,Obras,9,0.05%,,,,
Cardenales,Descriptor,Obras,9,0.05%,,,,
Cataratas,Descriptor,Obras,9,0.05%,,,,
Discusión,Descriptor,Obras,9,0.05%,,,,
Egipto,Descriptor,Obras,9,0.05%,,,,
Enferma,Descriptor,Obras,9,0.05%,,,,
Espacio doméstico,Descriptor,Obras,9,0.05%,,,,
Globo Terraqueo,Descriptor,Obras,9,0.05%,,,,
Intercambio,Descriptor,Obras,9,0.05%,,,,
Letanía,Descriptor,Obras,9,0.05%,,,,
Redención,Descriptor,Obras,9,0.05%,,,,
Traje episcopal,Descriptor,Obras,9,0.05%,,,,
Apoteosis,Descriptor,Obras,8,0.04%,,,,
Calle,Descriptor,Obras,8,0.04%,,,,
Canoa,Descriptor,Obras,8,0.04%,,,,
Conmemoración,Descriptor,Obras,8,0.04%,,,,
Durazno,Descriptor,Obras,8,0.04%,,,,
Flagelantes,Descriptor,Obras,8,0.04%,,,,
Glorificación,Descriptor,Obras,8,0.04%,,,,
