categoria,anio,conteo
Cristológico,1746,
Cristológico,1747,
Cristológico,1749,1.0
Cristológico,1750,28.0
Cristológico,1751,
Cristológico,1752,
Cristológico,1753,
Cristológico,1754,3.0
Cristológico,1755,
Cristológico,1756,
Cristológico,1757,
Cristológico,1758,1.0
Cristológico,1759,1.0
Cristológico,1760,1.0
Cristológico,1761,
Cristológico,1762,
Cristológico,1763,1.0
Cristológico,1764,
Cristológico,1765,5.0
Cristológico,1766,
Cristológico,1767,
Cristológico,1768,
Cristológico,1769,
Cristológico,1770,2.0
Cristológico,1771,
Cristológico,1772,2.0
Cristológico,1773,
Cristológico,1774,
Cristológico,1775,
Cristológico,1776,
Cristológico,1777,
Cristológico,1778,
Cristológico,1779,1.0
Cristológico,1780,
Cristológico,1781,
Cristológico,1782,
Cristológico,1783,
Cristológico,1784,
Cristológico,1785,
Cristológico,1786,
Cristológico,1787,
Cristológico,1788,
Cristológico,1789,
Cristológico,1790,1.0
Cristológico,1791,
Cristológico,1792,
Cristológico,1793,
Cristológico,1794,
Cristológico,1795,
Cristológico,1797,
Cristológico,1799,
Cristológico,1800,4.0
Cristológico,1801,
Cristológico,1802,
Cristológico,1803,
Cristológico,1805,
Cristológico,1806,
Cristológico,1808,
Cristológico,1809,
Cristológico,1810,
Cristológico,1811,
Cristológico,1812,
Cristológico,1813,
Cristológico,1814,
Cristológico,1816,
Cristológico,1817,2.0
Cristológico,1818,
Cristológico,1819,
Cristológico,1820,
Cristológico,1821,
Cristológico,1822,
Cristológico,1824,
Cristológico,1830,
Cristológico,1832,
Cristológico,1834,
Cristológico,1840,
Cristológico,1850,
Cristológico,1852,
Cristológico,1858,1.0
Cristológico,1860,
Dogma,1500,
Dogma,1535,
Dogma,1539,
Dogma,1550,
Dogma,1551,
Dogma,1554,
Dogma,1556,
Dogma,1558,
Dogma,1560,
Dogma,1562,
Dogma,1565,
Dogma,1568,
Dogma,1570,
Dogma,1573,
Dogma,1575,1.0
Dogma,1579,
Dogma,1580,
Dogma,1581,
Dogma,1584,
Dogma,1586,
Dogma,1587,
Dogma,1588,
Dogma,1590,
Dogma,1594,
Dogma,1600,58.0
Dogma,1602,
Dogma,1603,
Dogma,1604,
Dogma,1605,
Dogma,1606,
Dogma,1607,
Dogma,1609,
Dogma,1610,
Dogma,1611,
Dogma,1612,
Dogma,1615,
Dogma,1616,
Dogma,1618,
